user_id,Submit_Date,positive_affect_score,negative_affect_score
621e2e8e67b776a24055b564,2021-05-31,38,12
621e2e8e67b776a24055b564,2021-06-07,37,12
621e2e8e67b776a24055b564,2021-06-28,21,14
621e2e8e67b776a24055b564,2021-07-26,37,14
621e2e8e67b776a24055b564,2021-06-28,31,12
621e2e8e67b776a24055b564,2021-07-19,37,12
621e2eaf67b776a2406b14ac,2021-11-29,28,35
621e2eaf67b776a2406b14ac,2021-12-06,32,21
621e2eaf67b776a2406b14ac,2021-12-13,26,17
621e2eaf67b776a2406b14ac,2022-01-05,34,17
621e2eaf67b776a2406b14ac,2022-01-10,27,12
621e2eaf67b776a2406b14ac,2022-01-05,33,21
621e2eaf67b776a2406b14ac,2022-01-07,26,16
621e2ed667b776a24085d8d1,2021-06-30,35,23
621e2ed667b776a24085d8d1,2021-06-07,28,20
621e2ed667b776a24085d8d1,2021-06-22,33,19
621e2ed667b776a24085d8d1,2021-07-17,26,40
621e2ed667b776a24085d8d1,2021-07-30,24,20
621e2f3967b776a240c654db,2021-05-31,30,12
621e2f3967b776a240c654db,2021-06-07,29,13
621e2f3967b776a240c654db,2021-06-22,30,15
621e2f3967b776a240c654db,2021-07-05,28,31
621e2f3967b776a240c654db,2021-07-13,29,24
621e2f3967b776a240c654db,2021-07-26,29,24
621e2f3967b776a240c654db,2021-06-15,31,15
621e2f3967b776a240c654db,2021-06-28,30,11
621e2f3967b776a240c654db,2021-07-20,25,32
621e2f6167b776a240e082a9,2021-06-01,30,18
621e2f6167b776a240e082a9,2021-07-15,27,27
621e2f6167b776a240e082a9,2021-06-08,31,26
621e2f6167b776a240e082a9,2021-06-14,28,18
621e2f6167b776a240e082a9,2021-06-23,19,29
621e2f6167b776a240e082a9,2021-06-29,18,28
621e2f6167b776a240e082a9,2021-08-02,18,26
621e2f7a67b776a240f14425,2021-06-08,32,17
621e2f7a67b776a240f14425,2021-05-31,21,13
621e2f7a67b776a240f14425,2021-06-20,38,16
621e2f7a67b776a240f14425,2021-06-22,40,15
621e2f7a67b776a240f14425,2021-06-28,39,17
621e2f7a67b776a240f14425,2021-07-06,32,26
621e2f7a67b776a240f14425,2021-07-13,35,16
621e2f7a67b776a240f14425,2021-07-19,38,23
621e2f7a67b776a240f14425,2021-07-30,43,18
621e2f9167b776a240011ccb,2021-11-28,40,29
621e2f9167b776a240011ccb,2022-01-09,39,36
621e2f9167b776a240011ccb,2021-12-12,30,45
621e2f9167b776a240011ccb,2021-12-26,43,26
621e2f9167b776a240011ccb,2022-01-16,43,31
621e2fb367b776a24015accd,2021-05-31,35,17
621e2fb367b776a24015accd,2021-07-05,32,21
621e2fb367b776a24015accd,2021-06-07,37,16
621e2fb367b776a24015accd,2021-06-22,34,16
621e2fb367b776a24015accd,2021-06-28,25,27
621e2fb367b776a24015accd,2021-07-12,29,22
621e2fb367b776a24015accd,2021-07-20,27,17
621e2fb367b776a24015accd,2021-07-26,28,14
621e2fb367b776a24015accd,2021-06-22,35,19
621e2fce67b776a240279baa,2021-05-31,24,21
621e2fce67b776a240279baa,2021-07-05,33,21
621e2fce67b776a240279baa,2021-07-20,20,18
621e2fce67b776a240279baa,2021-07-26,28,15
621e2fce67b776a240279baa,2021-06-24,27,13
621e2ff067b776a2403eb737,2021-11-29,19,27
621e2ff067b776a2403eb737,2021-12-20,21,16
621e2ff067b776a2403eb737,2022-01-10,16,21
621e2ff067b776a2403eb737,2021-12-13,21,20
621e2ff067b776a2403eb737,2021-12-28,22,25
621e2ff067b776a2403eb737,2021-12-01,16,35
621e2ff067b776a2403eb737,2021-12-06,21,19
621e2ff067b776a2403eb737,2022-01-03,18,17
621e300767b776a2404dc717,2022-01-03,32,21
621e300767b776a2404dc717,2021-12-20,30,22
621e300767b776a2404dc717,2021-12-13,29,22
621e300767b776a2404dc717,2021-12-27,29,20
621e300767b776a2404dc717,2022-01-10,32,22
621e301367b776a24057738e,2021-06-29,32,17
621e301367b776a24057738e,2021-07-26,31,14
621e301367b776a24057738e,2021-07-26,25,18
621e301367b776a24057738e,2021-06-01,32,14
621e301367b776a24057738e,2021-06-20,33,24
621e301367b776a24057738e,2021-06-08,33,13
621e301367b776a24057738e,2021-07-13,33,13
621e301367b776a24057738e,2021-07-26,28,15
621e301367b776a24057738e,2021-07-26,26,17
621e301367b776a24057738e,2021-07-26,25,19
621e301367b776a24057738e,2021-07-26,27,18
621e301e67b776a240608a72,2021-06-07,39,22
621e301e67b776a240608a72,2021-05-31,40,24
621e301e67b776a240608a72,2021-08-28,36,22
621e301e67b776a240608a72,2021-11-22,32,36
621e301e67b776a240608a72,2021-06-07,39,22
621e301e67b776a240608a72,2021-11-22,32,36
621e301e67b776a240608a72,2021-05-31,40,24
621e301e67b776a240608a72,2021-08-28,36,22
621e301e67b776a240608a72,2021-12-13,39,33
621e309b67b776a240b532b0,2021-11-22,37,13
621e309b67b776a240b532b0,2021-12-13,29,11
621e309b67b776a240b532b0,2021-12-29,26,13
621e309b67b776a240b532b0,2022-01-03,30,16
621e309b67b776a240b532b0,2021-12-06,35,13
621e30c867b776a240d4aa6c,2021-07-26,33,32
621e30c867b776a240d4aa6c,2021-06-04,45,16
621e30c867b776a240d4aa6c,2021-06-14,49,12
621e30c867b776a240d4aa6c,2021-06-22,47,22
621e30c867b776a240d4aa6c,2021-08-01,36,16
621e30c867b776a240d4aa6c,2021-07-05,42,17
621e30c867b776a240d4aa6c,2021-07-19,44,19
621e30e267b776a240e5bf90,2021-12-28,37,19
621e30e267b776a240e5bf90,2022-01-10,27,16
621e30e267b776a240e5bf90,2021-11-29,30,24
621e30e267b776a240e5bf90,2021-12-06,27,24
621e30e267b776a240e5bf90,2021-12-20,29,19
621e30e267b776a240e5bf90,2021-11-23,26,21
621e30e267b776a240e5bf90,2021-12-13,28,23
621e30e267b776a240e5bf90,2022-01-03,27,17
621e30e467b776a240e817c7,2021-06-14,24,27
621e30e467b776a240e817c7,2021-07-05,33,22
621e30e467b776a240e817c7,2021-07-31,30,21
621e30e467b776a240e817c7,2021-06-06,28,35
621e310d67b776a24003096d,2021-12-27,33,19
621e310d67b776a24003096d,2022-01-04,17,31
621e310d67b776a24003096d,2021-11-22,36,22
621e312a67b776a240164d59,2021-11-22,30,28
621e312a67b776a240164d59,2021-11-29,29,31
621e312a67b776a240164d59,2022-01-11,28,35
621e312a67b776a240164d59,2021-12-14,37,32
621e312a67b776a240164d59,2021-12-20,33,32
621e312a67b776a240164d59,2021-12-27,29,31
621e314867b776a24029ebf9,2021-05-31,34,13
621e314867b776a24029ebf9,2021-06-23,34,15
621e323667b776a240f19134,2021-11-22,41,23
621e323667b776a240f19134,2021-11-29,42,18
621e323667b776a240f19134,2021-12-12,30,25
621e323667b776a240f19134,2021-12-20,39,22
621e323667b776a240f19134,2022-01-03,25,25
621e323667b776a240f19134,2022-01-11,37,20
621e324e67b776a2400191cb,2021-12-06,48,16
621e324e67b776a2400191cb,2021-12-31,42,11
621e324e67b776a2400191cb,2021-11-27,43,13
621e324e67b776a2400191cb,2021-12-20,46,13
621e324e67b776a2400191cb,2022-01-09,49,12
621e324e67b776a2400191cb,2022-01-17,45,10
621e326767b776a24012e179,2021-06-07,27,37
621e326767b776a24012e179,2021-07-01,34,28
621e326767b776a24012e179,2021-07-12,35,29
621e326767b776a24012e179,2021-06-28,22,41
621e326767b776a24012e179,2021-07-19,36,27
621e326767b776a24012e179,2021-07-26,39,24
621e328667b776a240281372,2021-05-31,40,28
621e328667b776a240281372,2021-09-19,46,27
621e329067b776a2402ffad2,2021-06-07,29,11
621e329067b776a2402ffad2,2021-07-05,33,19
621e329067b776a2402ffad2,2021-07-12,33,20
621e329067b776a2402ffad2,2021-05-31,30,23
621e329067b776a2402ffad2,2021-06-28,37,17
621e329067b776a2402ffad2,2021-06-14,31,14
621e329067b776a2402ffad2,2021-06-21,36,21
621e329067b776a2402ffad2,2021-07-19,32,17
621e329067b776a2402ffad2,2021-07-26,35,22
621e32af67b776a24045b4cf,2021-05-31,32,33
621e32af67b776a24045b4cf,2021-07-12,34,40
621e32af67b776a24045b4cf,2021-07-19,29,31
621e32af67b776a24045b4cf,2021-06-07,35,40
621e32af67b776a24045b4cf,2021-06-14,33,42
621e32af67b776a24045b4cf,2021-06-24,30,36
621e32af67b776a24045b4cf,2021-07-26,27,38
621e32af67b776a24045b4cf,2021-06-28,27,39
621e32af67b776a24045b4cf,2021-07-05,37,32
621e32d967b776a240627414,2021-05-31,35,24
621e32d967b776a240627414,2021-06-21,24,13
621e32d967b776a240627414,2021-07-06,29,15
621e32d967b776a240627414,2021-07-12,20,24
621e32d967b776a240627414,2021-06-07,28,19
621e32d967b776a240627414,2021-06-14,28,16
621e32d967b776a240627414,2021-06-28,21,16
621e32e667b776a2406d2f1c,2021-12-13,37,32
621e32e667b776a2406d2f1c,2021-11-23,39,27
621e32e667b776a2406d2f1c,2021-12-27,30,12
621e32e667b776a2406d2f1c,2022-01-25,40,21
621e331067b776a24085dd3f,2021-11-30,36,32
621e331067b776a24085dd3f,2021-12-23,28,20
621e331067b776a24085dd3f,2021-12-09,31,26
621e331067b776a24085dd3f,2021-12-23,27,20
621e331067b776a24085dd3f,2022-01-10,30,20
621e331067b776a24085dd3f,2021-11-23,32,33
621e331067b776a24085dd3f,2021-12-29,28,19
621e331067b776a24085dd3f,2022-01-04,30,20
621e332267b776a24092a584,2021-06-02,28,19
621e333567b776a240a0c217,2021-11-23,34,25
621e333967b776a240a3cd06,2021-11-27,37,19
621e335a67b776a240bb12ff,2021-07-05,20,15
621e335a67b776a240bb12ff,2021-07-20,19,15
621e335a67b776a240bb12ff,2021-06-07,18,13
621e335a67b776a240bb12ff,2021-07-05,21,13
621e335a67b776a240bb12ff,2021-05-31,29,17
621e335a67b776a240bb12ff,2021-06-22,20,14
621e335a67b776a240bb12ff,2021-07-12,20,15
621e335a67b776a240bb12ff,2021-07-29,13,12
621e337667b776a240ce78ab,2021-07-20,27,29
621e337667b776a240ce78ab,2021-06-07,27,35
621e339967b776a240e502de,2021-11-22,45,15
621e339967b776a240e502de,2021-11-29,42,12
621e339967b776a240e502de,2021-12-14,39,12
621e339967b776a240e502de,2021-12-20,44,13
621e339967b776a240e502de,2021-12-27,45,11
621e339967b776a240e502de,2022-01-03,44,11
621e339967b776a240e502de,2022-01-12,45,13
621e339967b776a240e502de,2021-12-06,41,12
621e33b067b776a240f39e56,2021-06-14,39,33
621e33b067b776a240f39e56,2021-07-26,35,14
621e33b067b776a240f39e56,2021-07-12,50,20
621e33b067b776a240f39e56,2021-07-12,47,16
621e33b067b776a240f39e56,2021-07-19,48,10
621e33b067b776a240f39e56,2021-06-21,42,19
621e33b067b776a240f39e56,2021-06-28,42,27
621e33cf67b776a240087de9,2021-11-24,32,12
621e33cf67b776a240087de9,2021-11-30,35,14
621e33cf67b776a240087de9,2021-12-06,29,13
621e33cf67b776a240087de9,2022-01-10,22,20
621e33cf67b776a240087de9,2021-12-24,30,19
621e33cf67b776a240087de9,2022-01-06,15,20
621e33ed67b776a2401cf5f7,2021-06-21,28,15
621e33ed67b776a2401cf5f7,2021-06-28,27,17
621e33ed67b776a2401cf5f7,2021-07-12,35,16
621e33ed67b776a2401cf5f7,2021-06-03,29,14
621e341067b776a24037b105,2021-07-12,29,17
621e341067b776a24037b105,2021-05-31,12,15
621e341067b776a24037b105,2021-06-10,23,14
621e341067b776a24037b105,2021-06-28,29,17
621e341067b776a24037b105,2021-07-05,32,18
621e341067b776a24037b105,2021-07-20,26,15
621e341067b776a24037b105,2021-07-28,24,32
621e341067b776a24037b105,2021-06-22,26,28
621e346f67b776a24081744f,2022-01-12,25,13
621e346f67b776a24081744f,2021-11-24,32,23
621e346f67b776a24081744f,2021-12-14,23,34
621e346f67b776a24081744f,2021-12-23,29,19
621e34db67b776a240c9c2be,2021-05-31,42,18
621e34db67b776a240c9c2be,2021-06-09,36,26
621e34db67b776a240c9c2be,2021-07-05,39,29
621e34db67b776a240c9c2be,2021-07-19,37,26
621e34db67b776a240c9c2be,2021-06-22,37,27
621e34ec67b776a240d60873,2021-06-02,24,25
621e34f767b776a240de4e1a,2021-07-26,33,12
621e34f767b776a240de4e1a,2021-06-07,34,13
621e34f767b776a240de4e1a,2021-07-26,37,11
621e34f767b776a240de4e1a,2021-07-26,34,11
621e34f767b776a240de4e1a,2021-07-26,33,11
621e34f767b776a240de4e1a,2021-07-26,33,11
621e34f767b776a240de4e1a,2021-07-26,33,11
621e34f767b776a240de4e1a,2021-07-26,33,11
621e34f767b776a240de4e1a,2021-07-26,33,12
621e34f767b776a240de4e1a,2021-06-07,36,12
621e34f767b776a240de4e1a,2021-06-20,29,10
621e34f767b776a240de4e1a,2021-06-30,28,10
621e34f767b776a240de4e1a,2021-07-26,35,11
621e351a67b776a240f6204b,2021-06-14,31,18
621e351a67b776a240f6204b,2021-07-26,37,10
621e351a67b776a240f6204b,2021-08-02,35,11
621e356967b776a24027bd9f,2022-01-03,26,15
621e356967b776a24027bd9f,2021-11-24,48,12
621e356967b776a24027bd9f,2021-12-10,44,19
621e356967b776a24027bd9f,2022-01-10,41,12
621e360b67b776a24039709f,2021-07-12,45,21
621e360b67b776a24039709f,2021-07-26,31,29
621e360b67b776a24039709f,2021-08-05,43,22
621e360b67b776a24039709f,2021-06-07,42,24
621e360b67b776a24039709f,2021-07-04,40,28
621e362467b776a2404ad513,2021-06-27,31,13
621e362467b776a2404ad513,2021-07-04,30,13
621e362467b776a2404ad513,2021-07-11,29,13
621e362467b776a2404ad513,2021-08-01,33,14
621e366567b776a24076a727,2021-11-22,30,23
621e366567b776a24076a727,2021-12-06,23,24
621e366567b776a24076a727,2021-12-13,17,27
621e366567b776a24076a727,2022-01-04,18,27
621e366567b776a24076a727,2022-01-10,16,27
621e366567b776a24076a727,2021-12-20,26,22
621e367e67b776a24087d75d,2021-11-29,25,27
621e367e67b776a24087d75d,2021-12-14,30,18
621e367e67b776a24087d75d,2021-12-23,28,21
621e367e67b776a24087d75d,2022-01-07,30,22
621e367e67b776a24087d75d,2021-11-24,33,23
621e367e67b776a24087d75d,2022-01-17,27,21
621e36c267b776a240ba2756,2021-05-31,44,16
621e36c267b776a240ba2756,2021-06-23,38,13
621e36c267b776a240ba2756,2021-06-30,32,21
621e36c267b776a240ba2756,2021-07-06,38,18
621e36f967b776a240e5e7c9,2021-07-12,34,18
621e36f967b776a240e5e7c9,2021-07-20,40,17
621e36f967b776a240e5e7c9,2021-07-26,24,27
621e36f967b776a240e5e7c9,2021-05-31,32,27
621e36f967b776a240e5e7c9,2021-06-07,27,37
621e36f967b776a240e5e7c9,2021-06-21,17,27
621e36f967b776a240e5e7c9,2021-06-28,28,24
621e36f967b776a240e5e7c9,2021-07-05,36,17
621e375367b776a24021e950,2021-12-20,31,29
621e375367b776a24021e950,2022-01-02,30,33
621e375b67b776a240290cdc,2021-06-01,27,29
621e375b67b776a240290cdc,2021-06-08,30,30
621e375b67b776a240290cdc,2021-06-22,30,30
621e375b67b776a240290cdc,2021-07-06,30,29
